t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
10.5,18,turning,0.067,travel,1,0,1,0,0.046,1,1.43,14.1,87.1,87.1,14.1,73.0,travel_path:turning
10.5,25,turning,0.1,travel,1,0,1,0,0.151,1,1.082,338.9,266.7,266.7,21.1,72.2,travel_path:turning
10.5,27,turning,0.7,unit,0,1,1,1,0.34,1,0.147,35.1,0.0,121.0,35.1,85.9,plant_dress_turn
10.5,32,turning,0.167,travel,1,0,1,0,0.396,1,1.01,21.1,121.4,121.4,21.1,100.3,travel_path:turning
10.5,39,turning,0.1,travel,1,0,1,0,0.346,1,1.534,338.9,278.2,278.2,21.1,60.8,travel_path:turning
11.0,3,turning,0.233,unit,0,1,1,1,0.338,1,0.431,324.9,0.0,246.9,35.1,77.9,plant_dress_turn
11.0,17,turning,0.2,unit,0,1,1,0,0.243,1,0.7,331.9,0.0,249.8,28.1,82.1,plant_dress_turn
11.0,24,turning,0.2,unit,0,1,1,1,0.369,1,0.142,28.1,0.0,100.3,28.1,72.2,plant_dress_turn
11.0,31,turning,0.267,unit,0,1,1,1,0.271,1,0.369,331.9,0.0,273.5,28.1,58.4,plant_dress_turn
11.0,38,turning,0.2,unit,0,1,1,1,0.234,1,0.297,28.1,0.0,95.4,28.1,67.3,plant_dress_turn
11.5,1,turning,0.1,travel,1,0,1,0,0.42,1,1.825,21.1,89.8,89.8,21.1,68.7,travel_path:turning
11.5,15,turning,0.033,travel,1,0,1,0,0.24,1,1.316,7.0,108.3,108.3,7.0,101.3,travel_path:turning
11.5,22,turning,0.1,travel,1,0,1,0,0.446,1,1.05,338.9,243.7,243.7,21.1,95.2,travel_path:turning
11.5,29,turning,0.167,travel,1,0,1,0,0.099,1,1.247,21.1,62.3,62.3,21.1,41.2,travel_path:turning
11.5,36,turning,0.1,travel,1,0,1,0,0.207,1,1.676,338.9,240.9,240.9,21.1,98.0,travel_path:turning
12.0,0,turning,0.2,unit,0,1,1,1,0.411,1,0.038,331.9,0.0,273.6,28.1,58.3,plant_dress_turn
12.0,14,turning,0.333,unit,0,1,1,0,0.361,1,0.665,345.9,0.0,295.1,14.1,50.8,plant_dress_turn
12.0,28,turning,0.067,travel,1,0,1,0,0.284,1,0.816,345.9,207.4,207.4,14.1,138.6,travel_path:turning
12.0,35,turning,0.2,unit,0,1,1,1,0.262,1,0.464,28.1,0.0,76.7,28.1,48.6,plant_dress_turn
12.5,26,turning,0.167,travel,1,0,1,0,0.308,1,1.018,21.1,133.6,133.6,21.1,112.6,travel_path:turning
12.5,33,turning,0.1,travel,1,0,1,0,0.342,1,1.575,338.9,291.3,291.3,21.1,47.6,travel_path:turning
13.0,11,turning,0.333,unit,0,1,1,1,0.178,1,0.321,345.9,0.0,281.1,14.1,64.8,plant_dress_turn
13.0,18,turning,0.2,unit,0,1,1,1,0.046,1,0.533,28.1,0.0,120.7,28.1,92.6,plant_dress_turn
13.0,32,turning,0.333,unit,0,1,1,1,0.396,1,0.644,14.1,0.0,117.1,14.1,103.1,plant_dress_turn
13.0,39,turning,0.2,unit,0,1,1,1,0.346,1,0.289,331.9,0.0,250.4,28.1,81.5,plant_dress_turn
13.5,9,turning,0.033,travel,1,0,1,0,0.383,1,1.527,7.0,96.3,96.3,7.0,89.3,travel_path:turning
13.5,16,turning,0.1,travel,1,0,1,0,0.312,1,1.543,338.9,254.4,254.4,21.1,84.5,travel_path:turning
13.5,30,turning,0.1,travel,1,0,1,0,0.327,1,1.694,338.9,269.2,269.2,21.1,69.7,travel_path:turning
14.0,1,turning,0.2,unit,0,1,1,1,0.42,1,0.447,28.1,0.0,103.3,28.1,75.2,plant_dress_turn
14.0,29,turning,0.333,unit,0,1,1,1,0.099,1,0.542,14.1,0.0,78.9,14.1,64.9,plant_dress_turn
14.0,36,turning,0.2,unit,0,1,1,1,0.207,1,0.248,331.9,0.0,262.0,28.1,69.9,plant_dress_turn
14.5,20,turning,0.1,travel,1,0,1,0,0.417,1,1.384,21.1,110.6,110.6,21.1,89.5,travel_path:turning
14.5,27,turning,0.167,travel,1,0,1,0,0.34,1,1.072,338.9,250.0,250.0,21.1,88.9,travel_path:turning
14.5,34,turning,0.1,travel,1,0,1,0,0.391,1,1.05,21.1,57.6,57.6,21.1,36.5,travel_path:turning
15.0,5,turning,0.1,unit,0,1,1,1,0.183,1,0.609,353.0,0.0,293.9,7.0,59.1,plant_dress_turn
